id,firstName,lastName,title,preferredPronouns,date-of-birth,occupation,balance,overdraught-limit
1,Pete,Curzey,Mr,he/him,1999-10-18,Research Assistant II,14.7,409.94
2,Kirby,Monkley,Honorable,he/him,1963-03-29,Data Coordiator,43.83,825.56
3,Ernestine,Bloomer,Dr,she/her,1920-08-27,Environmental Specialist,762.9,179.05
4,Shayne,Jerwood,Dr,he/him,1979-05-12,Senior Quality Engineer,837.1,0.17
5,Ashbey,Lackner,Rev,she/her,1996-10-16,Information Systems Manager,555.69,582.3
6,Vincent,Cianelli,Honorable,he/him,1979-12-05,Civil Engineer,817.59,269.01
7,Craggie,Rivalland,Mrs,she/her,2003-09-19,Marketing Assistant,934.09,468.96
8,Andeee,Rushworth,Dr,he/him,1978-07-01,General Manager,246.1,198.09
9,Emylee,Tunnick,Rev,she/her,1914-11-07,Analog Circuit Design manager,267.02,475.01
10,Rosabelle,Rearden,Mrs,she/her,1916-10-19,Environmental Tech,857.88,174.95
11,Phaedra,Sunner,Honorable,he/him,1919-11-08,Help Desk Technician,610.36,461.68
12,Anjela,Benda,Honorable,she/her,1996-07-25,Operator,809.95,57.72
13,Aidan,Rought,Mrs,they/them,2007-04-05,Research Associate,380.92,153.62
14,Sloan,Wrist,Mr,he/him,2022-02-08,Quality Engineer,594.18,196.98
15,Aimee,Acarson,Mrs,he/him,1936-03-07,Help Desk Operator,271.32,142.81
16,Pauly,Portman,Mrs,she/her,1977-02-18,Paralegal,91.06,465.48
17,Mikael,Goldsbury,Rev,he/him,1966-04-10,Actuary,86.18,177.86
18,Berty,Caron,Mr,he/him,1984-01-29,VP Sales,133.09,247.51
19,Vittorio,McKiddin,Rev,he/him,2003-06-24,Software Consultant,459.6,516.24
20,Ham,Ibbett,Rev,they/them,2012-10-10,Biostatistician III,94.66,31.99
21,Marjory,Perkis,Ms,he/him,1967-01-16,Legal Assistant,797.75,434.42
22,Catlee,Cartmail,Dr,she/her,1992-02-08,Technical Writer,405.43,652.62
23,Cornell,Devas,Mrs,they/them,1990-07-17,Financial Advisor,243.31,81.14
24,Mikkel,Clynmans,Mrs,he/him,1933-07-27,Nurse,273.37,747.88
25,Charla,Lowen,Rev,he/him,1991-04-16,Assistant Media Planner,876.84,343.16
26,Brandie,Oldacres,Rev,he/him,1937-08-15,Accounting Assistant I,518.48,685.74
27,Mamie,Hasley,Mrs,he/him,1977-11-12,Associate Professor,52.16,204.15
28,Hurley,Wedgbrow,Mrs,she/her,1962-04-15,VP Sales,629.78,177.02
29,Maria,Blunsom,Rev,she/her,1911-05-07,Financial Advisor,847.15,684.75
30,Rori,Cruddace,Mrs,she/her,2009-09-05,Health Coach II,908.92,749.62
31,Fayth,Saddington,Mr,she/her,1977-04-19,Tax Accountant,980.88,476.51
32,Matelda,Vina,Dr,she/her,1983-08-16,Geologist I,400.1,461.75
